checking_account_Status,Duration(months),Credit_history,Purpose,Credit_Amount,credit_per_month,Savings_Account/bonds,Employment_since,Installment_rate(%),Personalstatus_Gender,Gender,debtors/Guarantors,Residence_since(yrs),Property,Age,Other_installment_plans,Housing,Bank_credits,Job,Dependents,Telephone,Foriegn_worker,Credit_Classification
above_200,18,cleared_pending_dues,tv,2100,116.666666666667,Below_100,1_to_4yr,4,single,male,Co-applicant,2,real_estate,37,stores,own,1,skilled_employee,1,none,yes,1
above_200,10,cleared_pending_dues,domestic_appliances,1225,122.5,Below_100,1_to_4yr,2,single,male,none,2,car/other,37,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,9,cleared_pending_dues,tv,458,50.8888888888889,Below_100,1_to_4yr,4,single,male,none,3,real_estate,24,none,own,1,skilled_employee,1,none,yes,0
no_account,30,cleared_pending_dues,tv,2333,77.7666666666667,500_to_1000,more_than_7yrs,4,single,male,none,2,car/other,30,bank,own,1,selfemployed/Mgt,1,none,yes,0
0_to_200,12,cleared_pending_dues,tv,1158,96.5,500_to_1000,1_to_4yr,3,divorced,male,none,1,car/other,26,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,18,delayed_payement,repairs,6204,344.666666666667,Below_100,1_to_4yr,2,single,male,none,4,real_estate,44,none,own,1,Unskilled-Resident,2,yes,yes,0
below_0,30,critical_acc,used_car,6187,206.233333333333,100_to_500,4_to_7yr,1,married,male,none,4,car/other,24,none,rent,2,skilled_employee,1,none,yes,0
below_0,48,critical_acc,used_car,6143,127.979166666667,Below_100,more_than_7yrs,4,divorced,female,none,4,no_property,58,stores,for_free,2,Unskilled-Resident,1,none,yes,1
no_account,11,critical_acc,new_car,1393,126.636363636364,Below_100,lessthan_year,4,divorced,female,none,4,car/other,35,none,own,2,selfemployed/Mgt,1,none,yes,0
no_account,36,cleared_pending_dues,tv,2299,63.8611111111111,500_to_1000,more_than_7yrs,4,single,male,none,4,car/other,39,none,own,1,skilled_employee,1,none,yes,0
below_0,6,cleared_pending_dues,used_car,1352,225.333333333333,500_to_1000,unemployed,1,divorced,female,none,2,life_insurance,23,none,rent,1,unemployed/non-resident,1,yes,yes,0
no_account,11,critical_acc,new_car,7228,657.090909090909,Below_100,1_to_4yr,1,single,male,none,4,life_insurance,39,none,own,2,Unskilled-Resident,1,none,yes,0
no_account,12,cleared_pending_dues,tv,2073,172.75,100_to_500,1_to_4yr,4,divorced,female,Co-applicant,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0
0_to_200,24,delayed_payement,furniture,2333,97.2083333333333,no_saving_acc,lessthan_year,4,single,male,none,2,life_insurance,29,bank,own,1,Unskilled-Resident,1,none,yes,0
0_to_200,27,delayed_payement,used_car,5965,220.925925925926,Below_100,more_than_7yrs,1,single,male,none,2,car/other,30,none,own,2,selfemployed/Mgt,1,yes,yes,0
no_account,12,cleared_pending_dues,tv,1262,105.166666666667,Below_100,1_to_4yr,3,single,male,none,2,car/other,25,none,own,1,skilled_employee,1,none,yes,0
no_account,18,cleared_pending_dues,used_car,3378,187.666666666667,no_saving_acc,1_to_4yr,2,single,male,none,1,life_insurance,31,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,36,delayed_payement,new_car,2225,61.8055555555556,Below_100,more_than_7yrs,4,single,male,none,4,no_property,57,bank,for_free,2,skilled_employee,1,yes,yes,1
no_account,6,duly_paid,new_car,783,130.5,no_saving_acc,1_to_4yr,1,single,male,guarantor,2,real_estate,26,stores,own,1,Unskilled-Resident,2,none,yes,0
0_to_200,12,cleared_pending_dues,tv,6468,539.0,no_saving_acc,unemployed,2,single,male,none,1,no_property,52,none,own,1,selfemployed/Mgt,1,yes,yes,1
no_account,36,critical_acc,tv,9566,265.722222222222,Below_100,1_to_4yr,2,divorced,female,none,2,car/other,31,stores,own,2,skilled_employee,1,none,yes,0
above_200,18,cleared_pending_dues,new_car,1961,108.944444444444,Below_100,more_than_7yrs,3,divorced,female,none,2,car/other,23,none,own,1,selfemployed/Mgt,1,none,yes,0
below_0,36,critical_acc,furniture,6229,173.02777777777803,Below_100,lessthan_year,4,divorced,female,Co-applicant,4,no_property,23,none,rent,2,Unskilled-Resident,1,yes,yes,1
0_to_200,9,cleared_pending_dues,business,1391,154.555555555556,Below_100,1_to_4yr,2,married,male,none,1,real_estate,27,bank,own,1,skilled_employee,1,yes,yes,0
0_to_200,15,critical_acc,tv,1537,102.46666666666701,no_saving_acc,more_than_7yrs,4,single,male,guarantor,4,real_estate,50,none,own,2,skilled_employee,1,yes,yes,0
0_to_200,36,no_credits_taken,business,1953,54.25,Below_100,more_than_7yrs,4,single,male,none,4,no_property,61,none,for_free,1,selfemployed/Mgt,1,yes,yes,1
0_to_200,48,no_credits_taken,business,14421,300.4375,Below_100,1_to_4yr,2,single,male,none,2,car/other,25,none,own,1,skilled_employee,1,yes,yes,1
no_account,24,cleared_pending_dues,tv,3181,132.541666666667,Below_100,lessthan_year,4,divorced,female,none,4,life_insurance,26,none,own,1,skilled_employee,1,yes,yes,0
no_account,27,cleared_pending_dues,repairs,5190,192.22222222222197,no_saving_acc,more_than_7yrs,4,single,male,none,4,life_insurance,48,none,own,4,skilled_employee,2,yes,yes,0
no_account,12,cleared_pending_dues,tv,2171,180.916666666667,Below_100,lessthan_year,2,divorced,female,none,2,car/other,29,bank,own,1,skilled_employee,1,none,yes,0
0_to_200,12,cleared_pending_dues,new_car,1007,83.9166666666667,Above_1000,1_to_4yr,4,married,male,none,1,real_estate,22,none,own,1,skilled_employee,1,none,yes,0
no_account,36,cleared_pending_dues,education,1819,50.52777777777779,Below_100,1_to_4yr,4,single,male,none,4,no_property,37,stores,for_free,1,skilled_employee,1,yes,yes,1
no_account,36,cleared_pending_dues,tv,2394,66.5,no_saving_acc,1_to_4yr,4,divorced,female,none,4,car/other,25,none,own,1,skilled_employee,1,none,yes,0
no_account,36,cleared_pending_dues,used_car,8133,225.916666666667,Below_100,1_to_4yr,1,divorced,female,none,2,life_insurance,30,bank,own,1,skilled_employee,1,none,yes,0
no_account,7,critical_acc,tv,730,104.285714285714,no_saving_acc,more_than_7yrs,4,single,male,none,2,life_insurance,46,none,rent,2,Unskilled-Resident,1,yes,yes,0
below_0,8,critical_acc,others,1164,145.5,Below_100,more_than_7yrs,3,single,male,none,4,no_property,51,bank,for_free,2,selfemployed/Mgt,2,yes,yes,0
0_to_200,42,critical_acc,business,5954,141.76190476190501,Below_100,4_to_7yr,2,divorced,female,none,1,real_estate,41,bank,own,2,Unskilled-Resident,1,none,yes,0
below_0,36,cleared_pending_dues,education,1977,54.9166666666667,no_saving_acc,more_than_7yrs,4,single,male,none,4,no_property,40,none,own,1,selfemployed/Mgt,1,yes,yes,1
below_0,12,critical_acc,used_car,1526,127.166666666667,Below_100,more_than_7yrs,4,single,male,none,4,no_property,66,none,for_free,2,selfemployed/Mgt,1,none,yes,0
below_0,42,cleared_pending_dues,tv,3965,94.40476190476191,Below_100,lessthan_year,4,single,male,none,3,car/other,34,none,own,1,skilled_employee,1,none,yes,1
0_to_200,11,delayed_payement,tv,4771,433.72727272727303,Below_100,4_to_7yr,2,single,male,none,4,life_insurance,51,none,own,1,skilled_employee,1,none,yes,0
no_account,54,no_credits_taken,used_car,9436,174.74074074074102,no_saving_acc,1_to_4yr,2,single,male,none,2,life_insurance,39,none,own,1,Unskilled-Resident,2,none,yes,0
0_to_200,30,cleared_pending_dues,furniture,3832,127.733333333333,Below_100,lessthan_year,2,married,male,none,1,life_insurance,22,none,own,1,skilled_employee,1,none,yes,0
no_account,24,cleared_pending_dues,tv,5943,247.625,no_saving_acc,lessthan_year,1,divorced,female,none,1,car/other,44,none,own,2,skilled_employee,1,yes,yes,1
no_account,15,cleared_pending_dues,tv,1213,80.8666666666667,500_to_1000,more_than_7yrs,4,single,male,none,3,life_insurance,47,stores,own,1,skilled_employee,1,yes,yes,0
no_account,18,cleared_pending_dues,business,1568,87.11111111111109,100_to_500,1_to_4yr,3,divorced,female,none,4,life_insurance,24,none,rent,1,Unskilled-Resident,1,none,yes,0
below_0,24,cleared_pending_dues,others,1755,73.125,Below_100,more_than_7yrs,4,divorced,female,guarantor,4,real_estate,58,none,own,1,Unskilled-Resident,1,yes,yes,0
below_0,10,cleared_pending_dues,tv,2315,231.5,Below_100,more_than_7yrs,3,single,male,none,4,real_estate,52,none,own,1,Unskilled-Resident,1,none,yes,0
no_account,12,critical_acc,business,1412,117.666666666667,Below_100,1_to_4yr,4,divorced,female,guarantor,2,real_estate,29,none,own,2,selfemployed/Mgt,1,yes,yes,0
0_to_200,18,critical_acc,furniture,1295,71.94444444444441,Below_100,lessthan_year,4,divorced,female,none,1,life_insurance,27,none,own,2,skilled_employee,1,none,yes,0
0_to_200,36,cleared_pending_dues,education,12612,350.333333333333,100_to_500,1_to_4yr,1,single,male,none,4,no_property,47,none,for_free,1,skilled_employee,2,yes,yes,1
below_0,18,cleared_pending_dues,new_car,2249,124.944444444444,100_to_500,4_to_7yr,4,single,male,none,3,car/other,30,none,own,1,selfemployed/Mgt,2,yes,yes,0
below_0,12,no_credits_taken,repairs,1108,92.3333333333333,Below_100,4_to_7yr,4,single,male,none,3,real_estate,28,none,own,2,skilled_employee,1,none,yes,1
no_account,12,critical_acc,tv,618,51.5,Below_100,more_than_7yrs,4,single,male,none,4,real_estate,56,none,own,1,skilled_employee,1,none,yes,0
below_0,12,critical_acc,used_car,1409,117.416666666667,Below_100,more_than_7yrs,4,single,male,none,3,real_estate,54,none,own,1,skilled_employee,1,none,yes,0
no_account,12,critical_acc,tv,797,66.4166666666667,no_saving_acc,more_than_7yrs,4,divorced,female,none,3,life_insurance,33,bank,own,1,Unskilled-Resident,2,none,yes,1
above_200,24,critical_acc,furniture,3617,150.708333333333,no_saving_acc,more_than_7yrs,4,single,male,Co-applicant,4,no_property,20,none,rent,2,skilled_employee,1,none,yes,0
0_to_200,12,cleared_pending_dues,new_car,1318,109.833333333333,Above_1000,more_than_7yrs,4,single,male,none,4,real_estate,54,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,54,no_credits_taken,business,15945,295.277777777778,Below_100,lessthan_year,3,single,male,none,4,no_property,58,none,rent,1,skilled_employee,1,yes,yes,1
no_account,12,critical_acc,education,2012,167.666666666667,no_saving_acc,4_to_7yr,4,divorced,female,none,2,car/other,61,none,own,1,skilled_employee,1,none,yes,0
0_to_200,18,cleared_pending_dues,business,2622,145.666666666667,100_to_500,1_to_4yr,4,single,male,none,4,car/other,34,none,own,1,skilled_employee,1,none,yes,0
0_to_200,36,critical_acc,tv,2337,64.9166666666667,Below_100,more_than_7yrs,4,single,male,none,4,real_estate,36,none,own,1,skilled_employee,1,none,yes,0
0_to_200,20,delayed_payement,used_car,7057,352.85,no_saving_acc,4_to_7yr,3,single,male,none,4,life_insurance,36,bank,rent,2,selfemployed/Mgt,2,yes,yes,0
no_account,24,cleared_pending_dues,new_car,1469,61.2083333333333,100_to_500,more_than_7yrs,4,married,male,none,4,real_estate,41,none,rent,1,Unskilled-Resident,1,none,yes,0
0_to_200,36,cleared_pending_dues,tv,2323,64.5277777777778,Below_100,4_to_7yr,4,single,male,none,4,car/other,24,none,rent,1,skilled_employee,1,none,yes,0
no_account,6,delayed_payement,tv,932,155.333333333333,Below_100,1_to_4yr,3,divorced,female,none,2,real_estate,24,none,own,1,skilled_employee,1,none,yes,0
0_to_200,9,critical_acc,furniture,1919,213.22222222222197,Below_100,4_to_7yr,4,single,male,none,3,car/other,35,none,rent,1,skilled_employee,1,yes,yes,0
no_account,12,cleared_pending_dues,used_car,2445,203.75,no_saving_acc,lessthan_year,2,married,male,none,4,car/other,26,none,rent,1,skilled_employee,1,yes,yes,0
0_to_200,24,critical_acc,others,11938,497.416666666667,Below_100,1_to_4yr,2,single,male,Co-applicant,3,car/other,39,none,own,2,selfemployed/Mgt,2,yes,yes,1
no_account,18,duly_paid,new_car,6458,358.777777777778,Below_100,more_than_7yrs,2,single,male,none,4,no_property,39,bank,own,2,selfemployed/Mgt,2,yes,yes,1
0_to_200,12,cleared_pending_dues,new_car,6078,506.5,Below_100,4_to_7yr,2,single,male,none,2,car/other,32,none,own,1,skilled_employee,1,none,yes,0
below_0,24,cleared_pending_dues,furniture,7721,321.70833333333303,no_saving_acc,lessthan_year,1,divorced,female,none,2,life_insurance,30,none,own,1,skilled_employee,1,yes,no,0
0_to_200,14,cleared_pending_dues,business,1410,100.714285714286,500_to_1000,more_than_7yrs,1,married,male,none,2,real_estate,35,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,6,delayed_payement,business,1449,241.5,100_to_500,more_than_7yrs,1,divorced,male,none,2,car/other,31,bank,own,2,skilled_employee,2,none,yes,0
above_200,15,cleared_pending_dues,education,392,26.1333333333333,Below_100,lessthan_year,4,divorced,female,none,4,life_insurance,23,none,rent,1,skilled_employee,1,yes,yes,0
0_to_200,18,cleared_pending_dues,new_car,6260,347.777777777778,Below_100,4_to_7yr,3,single,male,none,3,real_estate,28,none,rent,1,Unskilled-Resident,1,none,yes,0
no_account,36,critical_acc,new_car,7855,218.194444444444,Below_100,1_to_4yr,4,divorced,female,none,2,real_estate,25,stores,own,2,skilled_employee,1,yes,yes,1
below_0,12,cleared_pending_dues,tv,1680,140.0,500_to_1000,more_than_7yrs,3,married,male,none,1,real_estate,35,none,own,1,skilled_employee,1,none,yes,0
no_account,48,critical_acc,tv,3578,74.5416666666667,no_saving_acc,more_than_7yrs,4,single,male,none,1,real_estate,47,none,own,1,skilled_employee,1,yes,yes,0
below_0,42,cleared_pending_dues,tv,7174,170.809523809524,no_saving_acc,4_to_7yr,4,divorced,female,none,3,car/other,30,none,own,1,selfemployed/Mgt,1,yes,yes,1
below_0,10,critical_acc,furniture,2132,213.2,no_saving_acc,lessthan_year,2,divorced,female,Co-applicant,3,real_estate,27,none,rent,2,skilled_employee,1,none,no,0
below_0,33,critical_acc,furniture,4281,129.727272727273,500_to_1000,1_to_4yr,1,divorced,female,none,4,car/other,23,none,own,2,skilled_employee,1,none,yes,1
0_to_200,12,critical_acc,new_car,2366,197.166666666667,500_to_1000,4_to_7yr,3,divorced,male,none,3,car/other,36,none,own,1,selfemployed/Mgt,1,yes,yes,0
below_0,21,cleared_pending_dues,tv,1835,87.38095238095242,Below_100,1_to_4yr,3,divorced,female,none,2,real_estate,25,none,own,2,skilled_employee,1,yes,yes,1
no_account,24,critical_acc,used_car,3868,161.166666666667,Below_100,more_than_7yrs,4,divorced,female,none,2,car/other,41,none,rent,2,selfemployed/Mgt,1,yes,yes,0
no_account,12,cleared_pending_dues,furniture,1768,147.333333333333,Below_100,1_to_4yr,3,single,male,none,2,real_estate,24,none,rent,1,Unskilled-Resident,1,none,yes,0
above_200,10,critical_acc,new_car,781,78.1,Below_100,more_than_7yrs,4,single,male,none,4,no_property,63,none,for_free,2,skilled_employee,1,yes,yes,0
0_to_200,18,cleared_pending_dues,furniture,1924,106.88888888888901,no_saving_acc,lessthan_year,4,divorced,female,none,3,real_estate,27,none,rent,1,skilled_employee,1,none,yes,1
below_0,12,critical_acc,new_car,2121,176.75,Below_100,1_to_4yr,4,single,male,none,2,life_insurance,30,none,own,2,skilled_employee,1,none,yes,0
below_0,12,cleared_pending_dues,tv,701,58.4166666666667,Below_100,1_to_4yr,4,married,male,none,2,real_estate,40,none,own,1,Unskilled-Resident,1,none,yes,0
0_to_200,12,cleared_pending_dues,repairs,639,53.25,Below_100,1_to_4yr,4,single,male,none,2,car/other,30,none,own,1,skilled_employee,1,none,yes,1
0_to_200,12,critical_acc,used_car,1860,155.0,Below_100,unemployed,4,single,male,none,2,car/other,34,none,own,2,selfemployed/Mgt,1,yes,yes,0
below_0,12,critical_acc,new_car,3499,291.58333333333303,Below_100,1_to_4yr,3,divorced,female,Co-applicant,2,real_estate,29,none,own,2,skilled_employee,1,none,yes,1
0_to_200,48,cleared_pending_dues,new_car,8487,176.8125,no_saving_acc,4_to_7yr,1,divorced,female,none,2,car/other,24,none,own,1,skilled_employee,1,none,yes,0
below_0,36,delayed_payement,education,6887,191.305555555556,Below_100,1_to_4yr,4,single,male,none,3,life_insurance,29,stores,own,1,skilled_employee,1,yes,yes,1
no_account,15,cleared_pending_dues,furniture,2708,180.53333333333302,Below_100,lessthan_year,2,single,male,none,3,life_insurance,27,bank,own,2,Unskilled-Resident,1,none,yes,0
no_account,18,cleared_pending_dues,furniture,1984,110.222222222222,Below_100,1_to_4yr,4,single,male,none,4,no_property,47,bank,for_free,2,skilled_employee,1,none,yes,0
no_account,60,cleared_pending_dues,tv,10144,169.066666666667,100_to_500,4_to_7yr,2,divorced,female,none,4,real_estate,21,none,own,1,skilled_employee,1,yes,yes,0
no_account,12,critical_acc,tv,1240,103.333333333333,no_saving_acc,more_than_7yrs,4,divorced,female,none,2,real_estate,38,none,own,2,skilled_employee,1,yes,yes,0
no_account,27,delayed_payement,used_car,8613,319.0,Above_1000,1_to_4yr,2,single,male,none,2,car/other,27,none,own,2,skilled_employee,1,none,yes,0
0_to_200,12,cleared_pending_dues,tv,766,63.8333333333333,500_to_1000,1_to_4yr,4,single,male,none,3,real_estate,66,none,own,1,Unskilled-Resident,1,none,yes,1
0_to_200,15,critical_acc,tv,2728,181.866666666667,no_saving_acc,4_to_7yr,4,single,male,guarantor,2,real_estate,35,bank,own,3,skilled_employee,1,yes,yes,0
above_200,12,cleared_pending_dues,tv,1881,156.75,Below_100,1_to_4yr,2,divorced,female,none,2,car/other,44,none,rent,1,Unskilled-Resident,1,yes,yes,0
above_200,6,cleared_pending_dues,new_car,709,118.166666666667,Above_1000,lessthan_year,2,married,male,none,2,real_estate,27,none,own,1,unemployed/non-resident,1,none,no,0
0_to_200,36,cleared_pending_dues,tv,4795,133.194444444444,Below_100,lessthan_year,4,divorced,female,none,1,no_property,30,none,own,1,selfemployed/Mgt,1,yes,yes,0
below_0,27,cleared_pending_dues,tv,3416,126.518518518519,Below_100,1_to_4yr,3,single,male,none,2,car/other,27,none,own,1,selfemployed/Mgt,1,none,yes,0
below_0,18,cleared_pending_dues,furniture,2462,136.777777777778,Below_100,1_to_4yr,2,single,male,none,2,car/other,22,none,own,1,skilled_employee,1,none,yes,1
no_account,21,critical_acc,furniture,2288,108.952380952381,Below_100,lessthan_year,4,divorced,female,none,4,life_insurance,23,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,48,duly_paid,business,3566,74.2916666666667,100_to_500,4_to_7yr,4,single,male,none,2,car/other,30,none,own,1,skilled_employee,1,none,yes,0
below_0,6,critical_acc,new_car,860,143.333333333333,Below_100,more_than_7yrs,1,divorced,female,none,4,no_property,39,none,own,2,skilled_employee,1,yes,yes,0
no_account,12,critical_acc,new_car,682,56.8333333333333,100_to_500,4_to_7yr,4,divorced,female,none,3,car/other,51,none,own,2,skilled_employee,1,yes,yes,0
below_0,36,critical_acc,furniture,5371,149.194444444444,Below_100,1_to_4yr,3,single,male,guarantor,2,life_insurance,28,none,own,2,skilled_employee,1,none,yes,0
no_account,18,critical_acc,tv,1582,87.88888888888891,Above_1000,more_than_7yrs,4,single,male,none,4,car/other,46,none,own,2,skilled_employee,1,none,yes,0
no_account,6,cleared_pending_dues,tv,1346,224.333333333333,100_to_500,more_than_7yrs,2,single,male,none,4,no_property,42,bank,for_free,1,skilled_employee,2,yes,yes,0
no_account,10,cleared_pending_dues,tv,1924,192.4,Below_100,1_to_4yr,1,single,male,none,4,life_insurance,38,none,own,1,skilled_employee,1,yes,no,0
above_200,36,cleared_pending_dues,tv,5848,162.444444444444,Below_100,1_to_4yr,4,single,male,none,1,car/other,24,none,own,1,skilled_employee,1,none,yes,0
0_to_200,24,critical_acc,used_car,7758,323.25,Above_1000,more_than_7yrs,2,divorced,female,none,4,no_property,29,none,rent,1,skilled_employee,1,none,yes,0
0_to_200,24,delayed_payement,business,6967,290.29166666666697,100_to_500,4_to_7yr,4,single,male,none,4,car/other,36,none,rent,1,selfemployed/Mgt,1,yes,yes,0
below_0,12,cleared_pending_dues,furniture,1282,106.833333333333,Below_100,1_to_4yr,2,divorced,female,none,4,car/other,20,none,rent,1,skilled_employee,1,none,yes,1
below_0,9,critical_acc,repairs,1288,143.111111111111,100_to_500,more_than_7yrs,3,single,male,guarantor,4,real_estate,48,none,own,2,skilled_employee,2,none,no,0
below_0,12,duly_paid,retraining,339,28.25,Below_100,more_than_7yrs,4,married,male,none,1,car/other,45,bank,own,1,Unskilled-Resident,1,none,yes,0
0_to_200,24,cleared_pending_dues,new_car,3512,146.333333333333,100_to_500,4_to_7yr,2,single,male,none,3,car/other,38,bank,own,2,skilled_employee,1,yes,yes,0
no_account,6,critical_acc,tv,1898,316.33333333333303,no_saving_acc,1_to_4yr,1,single,male,none,2,real_estate,34,none,own,2,Unskilled-Resident,2,none,yes,0
no_account,24,critical_acc,tv,2872,119.666666666667,100_to_500,more_than_7yrs,3,single,male,none,4,real_estate,36,none,own,1,skilled_employee,2,yes,yes,0
no_account,18,critical_acc,new_car,1055,58.6111111111111,Below_100,lessthan_year,4,divorced,female,none,1,life_insurance,30,none,own,2,skilled_employee,1,none,yes,0
no_account,15,cleared_pending_dues,domestic_appliances,1262,84.1333333333333,500_to_1000,4_to_7yr,4,single,male,none,3,life_insurance,36,none,own,2,skilled_employee,1,yes,yes,0
